merchant_id,date,day_index,gmv,transaction_count,aov,refund_count,refund_amount,refund_rate,chargeback_count,chargeback_amount,chargeback_rate,fulfillment_delay_avg_days,fulfillment_on_time_rate,customer_count,new_customers,returning_customers,new_customer_rate,pct_pay_card,pct_pay_upi,pct_pay_netbanking,pct_pay_wallet,pct_pay_bnpl,liquidity_balance,pending_settlement_amount
M0000,2024-01-01,0,11080.998112633537,7,1582.9997303762195,1,1821.1189327053817,0.14285714285714285,0,0.0,0.0,3.5751988026814443,0.9084221577058673,7,4,3,0.5714285714285714,0.3021885520312587,0.4181558689043214,0.05857442825375205,0.11531083072212707,0.10577032008854076,59391.05292403191,9259.879179928155
M0000,2024-01-02,1,13024.118944821206,9,1447.1243272023562,1,1306.3721572867455,0.1111111111111111,0,0.0,0.0,4.446321128443294,0.9306202712437138,9,5,4,0.5555555555555556,0.31698774178098316,0.39179968082005223,0.08231646516310898,0.11081969194695611,0.09807642028889953,59432.54536878755,20977.625967462616
M0000,2024-01-03,2,13179.918968960406,10,1317.9918968960405,2,2703.1319542510373,0.2,0,0.0,0.0,4.307988919708772,0.9283674580383001,10,6,4,0.6,0.28435664991110055,0.39615773077143607,0.08170447185123894,0.12326388958875563,0.11451725787746891,60512.92983531819,22194.53380224383
M0000,2024-01-04,3,16011.742657251589,12,1334.311888104299,1,1396.9445277161815,0.08333333333333333,1,1272.2341312072924,0.08333333333333333,4.024486832937378,0.9073419751827964,12,6,6,0.5,0.31171456994473096,0.40558874430952485,0.06325261892101387,0.10857718805093569,0.11086687877379452,63210.72928412336,25091.585144244775
M0000,2024-01-05,4,18710.09306954414,15,1247.3395379696092,0,0.0,0.0,0,0.0,0.0,3.650317875415345,0.9444096617418718,15,9,6,0.6,0.3147669255224986,0.4094721441291297,0.0589106600692141,0.12233678591108282,0.09451348436807475,66720.17450092973,33324.891199079546
M0000,2024-01-06,5,19423.281806904004,14,1387.3772719217145,2,2743.6843912212826,0.14285714285714285,0,0.0,0.0,3.2054513568020577,0.8939357999449992,14,8,6,0.5714285714285714,0.2844032428520001,0.42461942728505947,0.0746576507058715,0.10347990369285841,0.11283977546421042,69824.40184986626,35389.69048522686
M0000,2024-01-07,6,23034.840257213786,16,1439.6775160758616,1,1573.0028584244226,0.0625,1,1301.1597876437377,0.0625,3.895818909640491,0.91992772570886,16,8,8,0.5,0.3062448622348518,0.39775194185813484,0.07612579983278384,0.11563103344770352,0.10424636262652587,75002.43326278962,38141.434814472086
M0000,2024-01-08,7,12314.715413750355,9,1368.3017126389284,1,1458.2480770836785,0.1111111111111111,0,0.0,0.0,4.22523580027572,0.8853671253045211,9,5,4,0.5555555555555556,0.3146853808211485,0.3986690629349932,0.059384625447738516,0.11666929593812135,0.11059163485799849,75210.3811667079,32318.30473545604
M0000,2024-01-09,8,15326.053730946283,10,1532.6053730946282,1,1563.9545913228633,0.1,0,0.0,0.0,3.5283066214962004,0.9053626640695763,10,7,3,0.7,0.3256852009564204,0.4033425161115736,0.0691221200514566,0.11154759810892334,0.09030256477162604,76456.68907004314,24618.566476290096
M0000,2024-01-10,9,14753.845723104903,10,1475.3845723104903,1,1223.573255709559,0.1,0,0.0,0.0,3.649411555655026,0.9154333856769259,10,6,4,0.6,0.3049092792033106,0.40251276940394404,0.0707846841597,0.11335188595074285,0.10844138128230264,76108.35805124954,27292.371607018766
M0000,2024-01-11,10,11931.992693810893,9,1325.776965978988,1,1270.125625506827,0.1111111111111111,0,0.0,0.0,3.6382679066257544,0.8865497989077412,9,4,5,0.4444444444444444,0.2951849795481585,0.40779846585209534,0.05694352474541393,0.13949478939008422,0.10057824046424804,75528.51316453223,24192.13953569941
M0000,2024-01-12,11,15609.683935621582,11,1419.0621759655985,0,0.0,0.0,0,0.0,0.0,3.5557804822825805,0.8847771517886894,11,6,5,0.5454545454545454,0.29849749719421664,0.40224246265139363,0.06285152424485214,0.11510243902107736,0.1213060768884603,77954.9548877579,26271.551003925648
M0000,2024-01-13,12,16387.983609095034,12,1365.6653007579196,3,3725.5806410402765,0.25,0,0.0,0.0,3.3678333297720755,0.9063536752344657,12,7,5,0.5833333333333334,0.30977699697174976,0.38351907641181027,0.07462197408400494,0.12381915562804253,0.10826279690439244,77854.44656555365,28272.08690367634
M0000,2024-01-14,13,12242.784958568693,9,1360.3094398409658,2,2293.5077072487247,0.2222222222222222,0,0.0,0.0,3.7768363379561936,0.8992433844609113,9,5,4,0.5555555555555556,0.3104600835718391,0.39030418097294717,0.0568274850037259,0.12446052508117317,0.11794772537031473,76606.10135128404,22611.680219374724
M0000,2024-01-15,14,12425.669025904925,8,1553.2086282381156,2,3219.896915964635,0.25,0,0.0,0.0,3.3177027807179633,0.9322431556468035,8,4,4,0.5,0.30470589747456617,0.4056610340445709,0.07044434047495018,0.10597536234441582,0.11321336566149681,75149.20666315622,19155.04936126026
M0000,2024-01-16,15,11212.441756420809,8,1401.555219552601,2,2950.4556617246044,0.25,1,1499.9895984573334,0.125,3.8255328550463674,0.8772355640261884,8,5,3,0.625,0.2909960490158215,0.4030005848331345,0.07906135086930295,0.12207976062129067,0.10486225466045034,73177.26529353544,17467.75820463649
M0000,2024-01-17,16,13976.060608428119,11,1270.5509644025562,3,3755.3769980466172,0.2727272727272727,1,1316.285600618958,0.09090909090909091,3.222582333693098,0.9243753783915845,11,7,4,0.6363636363636364,0.3074153451765528,0.3941766955116483,0.08543769570322274,0.10029329321610957,0.11267697039246669,74420.9539660734,18482.669705077707
